LG1	0
LG2	31194787
LG3	56243078
LG4	75568441
LG5	104248396
LG6	141637485
LG7	178362728
LG8_24	229404984
LG9	258852804
LG10	279809457
LG11	296902344
LG12	330349816
LG13	365029522
LG14	397816783
LG15	432007806
LG16_21	458692362
LG17	493582370
LG18	525332330
LG19	551530636
LG20	578689888
LG22	610160574
LG23	636570979
UNK1	657350972
UNK2	665239588
UNK3	669455174
UNK4	673503793
UNK5	676953864
UNK6	680358615
UNK7	683305105
UNK8	686053167
UNK9	688706480
UNK10	691315776
UNK11	693702500
UNK12	696030195
UNK13	698356221
UNK14	700574385
UNK15	702727116
UNK16	704868798
UNK17	706952701
UNK18	709011200
UNK19	710921433
UNK20	712754839
UNK21	714581674
UNK22	716382764
UNK23	718178868
UNK24	719966836
UNK25	721669551
UNK26	723368652
UNK27	724974819
UNK28	726565187
UNK29	728145791
UNK30	729717648
UNK31	731282347
UNK32	732842855
UNK33	734362662
UNK34	735834573
UNK35	737293445
UNK36	738735732
UNK37	740165467
UNK38	741548393
UNK39	742886891
UNK40	744184841
UNK41	745433141
UNK42	746666433
UNK43	747889752
UNK44	749112023
UNK45	750290831
UNK46	751457611
UNK47	752621515
UNK48	753776111
UNK49	754923462
UNK50	756059673
UNK51	757192805
UNK52	758324443
UNK53	759428855
UNK54	760529794
UNK55	761598082
UNK56	762625954
UNK57	763643506
UNK58	764652461
UNK59	765653092
UNK60	766651723
UNK61	767647594
UNK62	768639051
UNK63	769620376
UNK64	770583707
UNK65	771535822
UNK66	772464222
UNK67	773374828
UNK68	774280325
UNK69	775182223
UNK70	776083109
UNK71	776982285
UNK72	777879530
UNK73	778775731
UNK74	779665641
UNK75	780555366
UNK76	781443439
UNK77	782305069
UNK78	783166114
UNK79	784022008
UNK80	784857291
UNK81	785685937
UNK82	786511430
UNK83	787306809
UNK84	788100408
UNK85	788893333
UNK86	789664642
UNK87	790431781
UNK88	791191203
UNK89	791949112
UNK90	792706927
UNK91	793433102
UNK92	794158911
UNK93	794874674
UNK94	795575778
UNK95	796267867
UNK96	796951469
UNK97	797633805
UNK98	798312165
UNK99	798975126
UNK100	799635562
UNK101	800295009
UNK102	800945415
UNK103	801586128
UNK104	802225867
UNK105	802864912
UNK106	803497986
UNK107	804124990
UNK108	804727081
UNK109	805326345
UNK110	805925370
UNK111	806518892
UNK112	807094319
UNK113	807669210
UNK114	808238065
UNK115	808800135
UNK116	809356081
UNK117	809909584
UNK118	810460676
UNK119	811009634
UNK120	811557999
UNK121	812106112
UNK122	812650759
UNK123	813188539
UNK124	813725554
UNK125	814257675
UNK126	814789490
UNK127	815320927
UNK128	815851461
UNK129	816378001
UNK130	816903848
UNK131	817426318
UNK132	817943422
UNK133	818452049
UNK134	818957347
UNK135	819453310
UNK136	819940215
UNK137	820421627
UNK138	820898411
UNK139	821372410
UNK140	821845061
UNK141	822316266
UNK142	822778482
UNK143	823238709
UNK144	823698185
UNK145	824153199
UNK146	824605778
UNK147	825055941
UNK148	825505595
UNK149	825952661
UNK150	826398080
UNK151	826842902
UNK152	827287392
UNK153	827731642
UNK154	828172283
UNK155	828611795
UNK156	829050923
UNK157	829488171
UNK158	829924820
UNK159	830359072
UNK160	830791836
UNK161	831223540
UNK162	831651721
UNK163	832077248
UNK164	832494513
UNK165	832911349
UNK166	833325776
UNK167	833737436
UNK168	834147818
UNK169	834551417
UNK170	834950227
UNK171	835347889
UNK172	835744093
UNK173	836139860
UNK174	836534923
UNK175	836929919
UNK176	837321990
UNK177	837710759
UNK178	838095675
UNK179	838477119
UNK180	838856056
UNK181	839234429
UNK182	839607689
UNK183	839979695
UNK184	840347304
UNK185	840714547
